taken from https://physics.nist.gov/PhysRefData/FFast/html/form.html
    E              f1 
   keV           e atom-1

4.4179033E+00  3.62892E+01
4.4399929E+00  3.62867E+01
4.4621928E+00  3.62841E+01
4.4845038E+00  3.62813E+01
4.5069263E+00  3.62784E+01
4.5294609E+00  3.62753E+01
4.5521082E+00  3.62722E+01
4.5748688E+00  3.62689E+01
4.5977431E+00  3.62655E+01
4.6207318E+00  3.62619E+01
4.6438355E+00  3.62583E+01
4.6670547E+00  3.62546E+01
4.6903900E+00  3.62507E+01
4.7138419E+00  3.62468E+01
4.7374111E+00  3.62428E+01
4.7610982E+00  3.62386E+01
4.7849037E+00  3.62344E+01
4.8088282E+00  3.62301E+01
4.8328723E+00  3.62257E+01
4.8570367E+00  3.62212E+01
4.8813219E+00  3.62166E+01
4.9057285E+00  3.62120E+01
4.9302571E+00  3.62072E+01
4.9549084E+00  3.62024E+01
4.9796829E+00  3.61976E+01
5.0045814E+00  3.61926E+01
5.0296043E+00  3.61876E+01
5.0547523E+00  3.61825E+01
5.0800260E+00  3.61774E+01
5.1054262E+00  3.61722E+01
5.1309533E+00  3.61669E+01
5.1566081E+00  3.61616E+01
5.1823911E+00  3.61562E+01
5.2083031E+00  3.61508E+01
5.2343446E+00  3.61453E+01
5.2605163E+00  3.61398E+01
5.2868189E+00  3.61342E+01
5.3132530E+00  3.61285E+01
5.3398192E+00  3.61228E+01
5.3665183E+00  3.61171E+01
5.3933509E+00  3.61113E+01
5.4203177E+00  3.61055E+01
5.4474193E+00  3.60997E+01
5.4746564E+00  3.60938E+01
5.5020297E+00  3.60878E+01
5.5295398E+00  3.60819E+01
5.5571875E+00  3.60758E+01
5.5849734E+00  3.60698E+01
5.6128983E+00  3.60637E+01
5.6409628E+00  3.60575E+01
5.6691676E+00  3.60514E+01
5.6975135E+00  3.60452E+01
5.7260010E+00  3.60389E+01
5.7546310E+00  3.60327E+01
5.7834042E+00  3.60264E+01
5.8123212E+00  3.60201E+01
5.8413828E+00  3.60137E+01
5.8705897E+00  3.60073E+01
5.8999427E+00  3.60009E+01
5.9294424E+00  3.59945E+01
5.9590896E+00  3.59880E+01
5.9888850E+00  3.59816E+01
6.0188295E+00  3.59751E+01
6.0489236E+00  3.59685E+01
6.0791682E+00  3.59620E+01
6.1095641E+00  3.59554E+01
6.1401119E+00  3.59488E+01
6.1708125E+00  3.59422E+01
6.2016665E+00  3.59356E+01
6.2326749E+00  3.59290E+01
6.2638382E+00  3.59223E+01
6.2951574E+00  3.59157E+01
6.3266332E+00  3.59090E+01
6.3582664E+00  3.59023E+01
6.3900577E+00  3.58956E+01
6.4220080E+00  3.58889E+01
6.4541180E+00  3.58821E+01
6.4863886E+00  3.58754E+01
6.5188206E+00  3.58686E+01
6.5514147E+00  3.58618E+01
6.5841717E+00  3.58551E+01
6.915365E+00  3.57984E+01
7.392525E+00  3.57052E+01
7.902609E+00  3.56076E+01
8.447890E+00  3.55052E+01
9.030794E+00  3.54026E+01
9.653919E+00  3.52769E+01
1.032004E+01  3.51272E+01
1.103212E+01  3.49475E+01
1.179334E+01  3.47178E+01
1.260708E+01  3.43871E+01
1.347697E+01  3.37744E+01
1.403909E+01  3.27699E+01
1.425397E+01  3.13987E+01
1.431127E+01  2.97438E+01
1.440688E+01  3.15725E+01
1.461211E+01  3.29645E+01
1.540095E+01  3.44353E+01
1.646362E+01  3.51565E+01
1.759961E+01  3.55643E+01
1.881398E+01  3.58418E+01
2.011215E+01  3.60333E+01
2.149988E+01  3.61637E+01
2.298338E+01  3.62526E+01
2.456923E+01  3.63124E+01
2.626450E+01  3.63531E+01
2.807676E+01  3.63793E+01
3.001405E+01  3.64257E+01
3.208502E+01  3.64237E+01
3.429889E+01  3.64141E+01
3.666551E+01  3.63994E+01
3.919543E+01  3.63815E+01
4.189992E+01  3.63617E+01
4.479101E+01  3.63407E+01
4.788159E+01  3.63194E+01
5.118542E+01  3.62981E+01
5.471721E+01  3.62774E+01
5.849270E+01  3.62575E+01
6.252870E+01  3.62388E+01
6.684318E+01  3.62206E+01
7.145536E+01  3.62030E+01
7.638578E+01  3.61863E+01
8.165640E+01  3.61708E+01
8.729069E+01  3.61562E+01
9.331374E+01  3.61424E+01
9.975239E+01  3.61295E+01
1.066353E+02  3.61175E+01
1.139931E+02  3.61065E+01
1.218587E+02  3.60964E+01
1.302669E+02  3.60871E+01
1.392553E+02  3.60786E+01
1.488640E+02  3.60709E+01
1.591356E+02  3.60639E+01
1.701159E+02  3.60575E+01
1.818539E+02  3.60517E+01
1.944018E+02  3.60465E+01
2.078156E+02  3.60417E+01
2.221548E+02  3.60374E+01
2.374835E+02  3.60336E+01
2.538699E+02  3.60301E+01
2.713869E+02  3.60269E+01
2.901126E+02  3.60241E+01
3.101304E+02  3.60216E+01
3.315294E+02  3.60193E+01
3.544049E+02  3.60173E+01
3.788588E+02  3.60154E+01
4.050001E+02  3.60138E+01
4.329451E+02  3.60123E+01
